artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,genre
Breaking Benjamin,The Diary Of Jane,6.2e-05,0.395,200549,0.959,0.0447,10,0.102,-4.409,0.0632,167.093,4,0.31,alternative
Mumford & Sons,Babel,0.0246,0.424,207934,0.839,0.000646,2,0.0828,-5.848,0.0558,80.937,4,0.659,alternative
Phoenix,If I ever feel better,0.0492,0.755,266600,0.553,0.00607,6,0.0646,-9.449,0.107,119.7,4,0.836,alternative
Florence + The Machine,Shake It Out,0.0126,0.519,277720,0.808,0,10,0.105,-4.097,0.0383,107.505,4,0.255,alternative
Panic! At The Disco,Nine In The Afternoon - Radio Mix,0.0843,0.405,191560,0.689,0,10,0.207,-5.75,0.0365,155.189,4,0.376,alternative
HAIM,The Wire,0.0127,0.547,245293,0.635,5.01e-06,2,0.0585,-5.569,0.137,113.678,4,0.496,alternative
Everclear,Father Of Mine,0.000431,0.568,231400,0.94,4.96e-05,1,0.0779,-5.401,0.0411,97.096,4,0.721,alternative
MGMT,Time to Pretend,8.74e-05,0.438,261000,0.94,0.0777,2,0.3,-3.249,0.0452,100.99,3,0.395,alternative
The Neighbourhood,Sweater Weather,0.15,0.695,240040,0.615,0.000212,7,0.0879,-5.325,0.042,124.015,4,0.425,alternative
Foo Fighters,Everlong,5.69e-05,0.415,249987,0.867,0.000192,11,0.0883,-5.497,0.0387,157.902,4,0.347,alternative
Yellowcard,Ocean Avenue,3.43e-05,0.486,198267,0.904,2.83e-05,6,0.0947,-3.751,0.0638,173.734,4,0.763,alternative
Muse,Madness,0.127,0.502,281040,0.417,0.00419,10,0.106,-7.665,0.0718,180.301,4,0.202,alternative
Two Door Cinema Club,Something Good Can Work,0.0208,0.676,165320,0.922,0.00213,0,0.116,-4.499,0.0576,119.929,4,0.914,alternative
Grouplove,Tongue Tied,0.00847,0.56,218013,0.936,0,3,0.161,-5.835,0.0439,112.96,4,0.385,alternative
Pearl Jam,Alive,0.00752,0.284,340907,0.875,0.000461,11,0.402,-6.069,0.0422,75.009,4,0.558,alternative
Cider Sky,Northern Lights,0.5,0.713,229627,0.501,0.0913,2,0.0832,-11.872,0.0338,117.975,4,0.554,alternative
Turtle Giant,We Were Kids,0.0378,0.267,274413,0.908,1.67e-06,11,0.0971,-4.209,0.0475,174.615,4,0.417,alternative
Coldplay,Speed Of Sound,0.00491,0.523,287907,0.898,0.0345,11,0.0746,-6.765,0.0567,123.085,4,0.356,alternative
Lana Del Rey,Video Games,0.841,0.329,281960,0.276,1.32e-06,6,0.0833,-9.584,0.0312,132.206,4,0.164,alternative
The Smashing Pumpkins,Disarm,0.0482,0.515,198467,0.426,0.737,4,0.121,-9.267,0.0278,129.301,4,0.2,alternative
Soundgarden,Spoonman,2.64e-05,0.268,246360,0.789,0.119,0,0.185,-11.035,0.0367,186.202,3,0.856,alternative
The Strokes,Last Nite,0.0285,0.624,193051,0.91,0.000198,0,0.0789,-5.703,0.0297,104.042,4,0.773,alternative
Nirvana,Rape Me,0.00221,0.424,169133,0.878,0,8,0.0834,-7.622,0.0585,112.029,4,0.158,alternative
Mumford & Sons,The Cave,0.0536,0.592,215627,0.499,4.4e-05,4,0.113,-9.463,0.0374,141.938,4,0.333,alternative
Spin Doctors,Two Princes,0.00162,0.543,256733,0.912,2.1e-06,7,0.0565,-10.71,0.0601,103.731,4,0.83,alternative
The Kooks,Junk of the Heart (Happy),0.0212,0.604,187253,0.894,0,2,0.0299,-5.0,0.037,145.014,4,0.893,alternative
Paramore,crushcrushcrush,0.000218,0.631,189373,0.793,5.65e-05,1,0.0976,-4.086,0.0468,136.96,4,0.658,alternative
alt-J,Fitzpleasure,0.134,0.582,219400,0.604,0.000957,9,0.102,-6.962,0.0493,143.952,4,0.342,alternative
AWOLNATION,Sail,0.441,0.826,259093,0.436,0.615,1,0.0964,-9.583,0.0558,119.051,4,0.274,alternative
Florence + The Machine,Dog Days Are Over,0.059,0.504,251840,0.812,0.000526,7,0.119,-5.316,0.0911,150.11,4,0.331,alternative
Tegan and Sara,Closer,0.00174,0.588,209280,0.751,6.57e-05,0,0.353,-7.588,0.0328,136.979,4,0.524,alternative
Neon Trees,Animal,0.000392,0.486,212293,0.831,0,5,0.363,-5.5,0.0506,148.026,4,0.793,alternative
Destroyer,Kaputt,0.0755,0.647,377973,0.721,0.121,4,0.169,-8.918,0.0341,109.967,4,0.562,alternative
Lana Del Rey,Ride,0.156,0.339,289080,0.724,8.9e-06,0,0.375,-5.579,0.0377,93.363,4,0.186,alternative
Green Day,Basket Case,0.00293,0.442,181533,0.943,8.71e-06,3,0.091,-3.205,0.0602,85.064,4,0.794,alternative
The Smashing Pumpkins,1979,0.0166,0.765,266200,0.788,0.588,3,0.0513,-9.896,0.0332,126.879,4,0.963,alternative
Foster The People,Coming of Age,0.0219,0.534,280040,0.955,0.00573,7,0.322,-4.447,0.0524,130.09,4,0.416,alternative
Radiohead,No Surprises,0.0495,0.268,228533,0.406,0.0066,5,0.113,-10.232,0.0276,76.432,4,0.113,alternative
Coldplay,Magic,0.0262,0.738,285014,0.483,0.616,6,0.106,-8.915,0.0403,93.458,4,0.358,alternative
Stone Temple Pilots,Interstate Love Song,0.000552,0.214,193613,0.947,0.00352,4,0.238,-5.053,0.0507,170.616,4,0.494,alternative
The Killers,When You Were Young,0.000202,0.463,220427,0.983,0.129,8,0.303,-3.254,0.138,130.394,4,0.362,alternative
Lorde,Team,0.151,0.696,193059,0.59,0,6,0.247,-7.428,0.0904,99.984,4,0.452,alternative
Foster The People,Pumped Up Kicks,0.145,0.733,239600,0.71,0.115,5,0.0956,-5.849,0.0292,127.975,4,0.963,alternative
Born Gold,I: Ferocious Body,0.352,0.713,221538,0.554,0.00418,7,0.65,-10.642,0.0829,130.089,4,0.284,alternative
fun.,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,0.02,0.378,250627,0.638,7.66e-05,10,0.0849,-5.576,0.075,184.086,4,0.762,alternative
The Naked And Famous,Young Blood,7.14e-05,0.595,246600,0.866,0.000143,6,0.629,-4.629,0.0316,104.984,4,0.371,alternative
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),0.0313,0.561,186827,0.927,2.34e-05,9,0.529,-4.374,0.0619,152.011,4,0.562,alternative
alt-J,Breezeblocks,0.096,0.616,227080,0.656,0.000879,5,0.205,-7.298,0.0344,150.071,4,0.283,alternative
Coldplay,In My Place,0.0565,0.425,226680,0.587,5.16e-06,9,0.298,-5.453,0.0278,144.642,4,0.198,alternative
Arctic Monkeys,Snap Out Of It,0.249,0.728,193030,0.638,0,5,0.116,-6.455,0.0336,130.014,4,0.874,alternative
The Black Keys,Gold On The Ceiling,0.00772,0.505,224333,0.833,7.9e-05,0,0.069,-4.632,0.0475,130.121,4,0.557,alternative
Red Hot Chili Peppers,Californication,0.0021,0.592,329733,0.767,0.00165,9,0.127,-2.788,0.027,96.483,4,0.317,alternative
Tame Impala,Music To Walk Home By,0.00991,0.394,312213,0.905,0.0739,7,0.0636,-4.148,0.0564,101.121,4,0.438,alternative
Weezer,Buddy Holly,0.00605,0.538,159587,0.916,6.82e-05,8,0.0857,-4.025,0.0389,120.959,4,0.776,alternative
The Goo Goo Dolls,Iris,0.00133,0.291,289907,0.79,5.61e-06,11,0.0811,-5.683,0.0363,155.667,3,0.493,alternative
Mutemath,Blood Pressure,0.00105,0.572,183827,0.939,0.14,7,0.0329,-3.263,0.0382,112.43,3,0.609,alternative
Fitz and The Tantrums,Out Of My League,0.0387,0.545,209386,0.968,0.00325,9,0.331,-3.553,0.0853,169.965,4,0.533,alternative
Sublime,What I Got,0.0172,0.795,171067,0.706,0.000384,7,0.326,-7.494,0.101,95.593,4,0.608,alternative
Edward Sharpe & The Magnetic Zeros,Home,0.32,0.545,306320,0.59,0.000389,2,0.124,-6.693,0.0327,111.739,4,0.125,alternative
Capital Cities,Safe And Sound,0.000189,0.652,192693,0.783,0.0173,0,0.0889,-4.829,0.0309,117.952,5,0.825,alternative
Little Richard,Good Golly Miss Molly,0.583,0.656,137213,0.903,0.00356,0,0.322,-6.185,0.0521,81.876,4,0.966,blues
Sam Cooke,Wonderful World,0.647,0.688,130267,0.466,0,11,0.0868,-11.299,0.035,128.555,4,0.872,blues
Gary Clark Jr.,Bright Lights,0.00207,0.515,324787,0.752,2.5e-06,9,0.129,-1.853,0.0336,83.541,4,0.506,blues
Otis Redding,(Sittin' On) The Dock Of The Bay,0.641,0.755,161413,0.333,0,2,0.0791,-10.297,0.0304,103.544,4,0.584,blues
Marlena Shaw,California Soul,0.557,0.518,177293,0.828,5.92e-05,6,0.323,-8.324,0.0555,94.466,4,0.603,blues
Peggy Lee,Fever,0.146,0.732,199494,0.178,0,11,0.123,-12.718,0.11,68.671,4,0.378,blues
Eric Clapton,Wonderful Tonight,0.672,0.564,221973,0.138,0.372,7,0.141,-20.072,0.031,95.419,4,0.454,blues
Howlin' Wolf,Smokestack Lightnin',0.568,0.662,188360,0.464,3.69e-05,9,0.104,-11.255,0.0608,145.903,4,0.403,blues
Percy Sledge,When A Man Loves A Woman,0.246,0.407,176133,0.272,9.94e-05,1,0.295,-13.394,0.025,95.379,3,0.171,blues
The Staple Singers,I'll Take You There,0.147,0.81,289013,0.628,0.000387,0,0.0784,-9.882,0.14,102.045,4,0.418,blues
Ike & Tina Turner,Proud Mary,0.663,0.628,157720,0.917,0.000105,1,0.507,-5.067,0.0917,117.505,4,0.961,blues
Bill Withers,Lean on Me,0.812,0.615,257533,0.234,5.84e-06,0,0.161,-11.8,0.0536,75.188,4,0.397,blues
Little Richard,Long Tall Sally,0.77,0.427,127742,0.577,0,5,0.13,-10.232,0.104,184.183,4,0.826,blues
John Lee Hooker,"One Bourbon, One Scotch, One Beer",0.553,0.733,180048,0.672,0,7,0.345,-11.725,0.0695,124.221,4,0.852,blues
Wilson Pickett,Mustang Sally,0.0906,0.76,187827,0.522,3.36e-06,0,0.174,-8.088,0.0348,109.741,4,0.539,blues
The Allman Brothers Band,Midnight Rider,0.353,0.412,178493,0.49,0.0552,7,0.224,-13.172,0.0332,189.346,4,0.674,blues
ZZ Top,Gimme All Your Lovin',0.00322,0.63,241080,0.788,0.0237,5,0.0883,-6.7,0.0298,120.059,4,0.646,blues
Etta James,I'd Rather Go Blind,0.633,0.412,153360,0.309,0.00692,11,0.571,-10.281,0.0285,162.809,3,0.549,blues
Gary Moore,Still Got The Blues - Single Version,0.43,0.331,249093,0.5,4.08e-06,9,0.145,-8.551,0.0318,75.473,3,0.29,blues
Sam Cooke,A Change Is Gonna Come,0.748,0.203,191320,0.442,0,10,0.296,-9.865,0.0337,171.776,3,0.483,blues
John Lee Hooker,Boom Boom,0.344,0.449,153653,0.567,0.129,10,0.0644,-12.442,0.054,162.456,4,0.894,blues
Canned Heat,Going Up The Country,0.859,0.622,172867,0.239,0.051,5,0.109,-18.982,0.0447,79.674,4,0.722,blues
Eric Clapton,Tears In Heaven,0.835,0.498,271760,0.242,0.536,9,0.133,-12.238,0.0257,153.744,4,0.297,blues
Joe Cocker,You Can Leave Your Hat On,0.118,0.65,255293,0.535,0,5,0.187,-13.325,0.0282,173.8,4,0.905,blues
Bill Withers,Ain't No Sunshine,0.304,0.524,122640,0.484,0.000228,4,0.0946,-8.151,0.0462,78.884,4,0.521,blues
Howlin' Wolf,Spoonful,0.751,0.858,162853,0.427,0.000902,9,0.0879,-10.932,0.0512,119.113,4,0.608,blues
Wilson Pickett,In The Midnight Hour,0.12,0.75,157160,0.444,3.69e-06,4,0.118,-8.63,0.0403,111.919,4,0.828,blues
Ray Charles,Georgia On My Mind,0.835,0.209,218213,0.329,0,7,0.163,-8.299,0.0293,167.274,5,0.223,blues
Curtis Mayfield,Move On Up - Extended Version,0.141,0.584,535333,0.975,0.501,11,0.101,-6.534,0.0651,138.341,4,0.867,blues
Little Walter,My Babe,0.927,0.693,160027,0.333,0,5,0.146,-10.721,0.0444,157.404,4,0.868,blues
Edwin Starr,War - Single Version,0.0492,0.598,202120,0.824,0,1,0.144,-7.186,0.168,109.206,4,0.729,blues
Bobby Womack,If You Think You're Lonely Now,0.425,0.639,329613,0.681,0.000171,0,0.13,-7.377,0.058,72.629,4,0.65,blues
Lou Rawls,You'll Never Find Another Love Like Mine,0.282,0.699,266307,0.669,0.000111,2,0.107,-10.563,0.035,110.431,4,0.874,blues
Al Green,Love And Happiness,0.301,0.821,303533,0.434,0.00602,8,0.0803,-10.981,0.164,99.821,4,0.739,blues
The Chi-Lites,Oh Girl,0.74,0.568,176640,0.462,5.33e-06,9,0.195,-9.741,0.0326,72.357,4,0.449,blues
Screamin' Jay Hawkins,I Put a Spell on You,0.635,0.729,145867,0.442,0.0233,5,0.106,-11.594,0.0705,173.953,3,0.945,blues
Joe Cocker,With A Little Help From My Friends,0.276,0.315,312173,0.447,0.00152,2,0.0923,-11.198,0.0672,141.407,3,0.305,blues
Little Richard,Tutti Frutti,0.532,0.534,143073,0.436,0,10,0.0498,-8.188,0.0824,184.716,4,0.967,blues
Booker T. & the M.G.'s,Green Onions,0.779,0.83,172199,0.475,0.943,10,0.104,-10.358,0.0368,134.93,4,0.876,blues
Curtis Mayfield,Superfly,0.457,0.784,233600,0.708,7.5e-05,2,0.0913,-9.141,0.11,120.109,4,0.767,blues
Ray Charles,Mess Around,0.473,0.615,160173,0.924,0,8,0.0614,-5.409,0.0683,149.84,4,0.926,blues
Etta James,I Just Want To Make Love To You (From The Diet Coke TV Advert),0.835,0.643,192787,0.542,2.53e-06,3,0.0718,-8.557,0.0984,100.232,4,0.726,blues
Ben E. King,Stand By Me,0.751,0.677,170960,0.183,0.000202,9,0.148,-10.632,0.0517,119.735,4,0.636,blues
The Drifters,This Magic Moment,0.401,0.348,147907,0.304,0,0,0.0702,-12.268,0.0424,141.319,4,0.587,blues
Candi Staton,Young Hearts Run Free,0.22,0.635,223387,0.764,0,3,0.165,-5.535,0.0316,120.004,4,0.693,blues
Jonny Lang,Lie To Me,0.561,0.615,251307,0.684,0.000492,8,0.061,-8.679,0.043,112.378,4,0.891,blues
B.B. King,The Thrill Is Gone,0.459,0.545,324707,0.468,0.447,11,0.0948,-7.975,0.0245,90.285,4,0.638,blues
Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,0.549,0.399,423840,0.916,0.292,1,0.309,-3.764,0.0677,115.682,4,0.501,blues
Joe Cocker,You Are So Beautiful,0.91,0.383,163093,0.198,0.00547,1,0.142,-11.831,0.0408,122.191,4,0.0772,blues
Dr. John,Right Place Wrong Time,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,0.0456,104.593,4,0.832,blues
Otis Redding,These Arms Of Mine,0.827,0.428,151613,0.416,0,10,0.345,-9.132,0.0277,177.39,3,0.708,blues
Joe Bonamassa,Different Shades of Blue,0.176,0.5,279227,0.671,0.000307,9,0.105,-4.366,0.0294,79.896,4,0.487,blues
Canned Heat,On the Road Again,0.88,0.395,199635,0.182,0.0333,9,0.322,-19.545,0.048,128.339,4,0.192,blues
Bill Withers,Lovely Day,0.292,0.69,254560,0.651,0.00241,9,0.105,-8.267,0.0324,97.918,4,0.723,blues
Barry White,Let the Music Play,0.0403,0.54,210534,0.746,6.07e-05,10,0.249,-8.782,0.0565,98.489,4,0.786,blues
Nina Simone,Feeling Good,0.835,0.401,172973,0.27,0,7,0.137,-11.022,0.0381,110.047,3,0.573,blues
The Allman Brothers Band,Ramblin' Man,0.488,0.309,288160,0.831,0.00304,1,0.286,-8.288,0.036,181.145,4,0.926,blues
The Spinners,I'll Be Around,0.175,0.593,188800,0.791,0,8,0.0976,-8.698,0.068,112.295,4,0.626,blues
Eric Clapton,Cocaine,0.083,0.702,218747,0.434,0.0454,9,0.121,-15.182,0.0288,105.207,4,0.66,blues
Donny Hathaway,A Song For You,0.822,0.315,325947,0.22,0.000211,5,0.245,-13.156,0.037,88.045,4,0.0718,blues
Al Green,Let's Stay Together,0.574,0.763,195960,0.302,0.0166,5,0.0797,-14.599,0.0768,101.391,4,0.556,blues
Etta James,At Last,0.793,0.254,178867,0.349,0.000921,5,0.334,-8.416,0.0296,88.14,3,0.251,blues
Jimmy Ruffin,What Becomes Of The Brokenhearted,0.681,0.685,181453,0.442,0,5,0.101,-10.682,0.0269,96.129,4,0.514,blues
Bonnie Raitt,I Can't Make You Love Me,0.853,0.582,333467,0.152,6.24e-05,10,0.271,-16.684,0.032,124.616,4,0.123,blues
Aaron Neville,Tell it Like it is,0.789,0.455,184747,0.522,9.02e-06,5,0.207,-6.266,0.0641,175.962,3,0.836,blues
The Drifters,Under The Boardwalk - Re-Recording,0.506,0.646,155800,0.702,0,5,0.0388,-4.818,0.0427,127.114,4,0.708,blues
James Brown,The Boss,0.427,0.735,194933,0.564,0.0839,1,0.0852,-8.303,0.0423,98.04,4,0.547,blues
Nina Simone,My Baby Just Cares For Me,0.862,0.753,218760,0.346,8.85e-06,11,0.0983,-12.957,0.0744,118.277,4,0.539,blues
ZZ Top,Sharp Dressed Man,0.000998,0.592,255640,0.888,0.0006,5,0.0751,-4.133,0.0289,124.947,4,0.397,blues
Harold Melvin & The Blue Notes,If You Don't Know Me By Now,0.351,0.549,213235,0.562,0,11,0.602,-4.821,0.0262,88.629,3,0.454,blues
Bobby Womack,Across 110th Street,0.107,0.476,230373,0.579,7.18e-06,11,0.166,-14.609,0.0488,110.262,4,0.516,blues
George Thorogood & The Destroyers,Bad To The Bone,0.00227,0.334,289853,0.901,0.0192,7,0.145,-4.21,0.0899,148.801,3,0.7,blues
James Brown,I Got You (I Feel Good),0.366,0.608,167840,0.587,1.46e-06,7,0.0501,-5.594,0.0981,144.064,4,0.7,blues
Gladys Knight & The Pips,Midnight Train to Georgia,0.245,0.558,279627,0.536,0,1,0.137,-6.902,0.0337,91.57,4,0.615,blues
Sam Cooke,Chain Gang,0.716,0.699,154333,0.738,0,7,0.601,-9.149,0.043,131.909,4,0.947,blues
Otis Redding,Try A Little Tenderness,0.312,0.491,225680,0.367,0.000101,4,0.11,-8.68,0.0405,100.376,4,0.128,blues
Stevie Ray Vaughan,Pride and Joy,0.0274,0.427,219587,0.626,0.00395,8,0.106,-11.821,0.0385,126.877,4,0.76,blues
Fats Domino,Ain't That a Shame,0.858,0.468,147613,0.207,1.75e-06,11,0.12,-12.895,0.0341,123.981,4,0.933,blues
,,0.665,0.579,119133,0.558,0,8,0.8,-12.083,0.276,172.806,4,0.939,blues
Barry White,"Can't Get Enough Of Your Love, Babe",0.169,0.766,242573,0.646,0.0437,5,0.182,-12.328,0.0754,110.671,4,0.727,blues
Sam & Dave,Hold On I'm Coming,0.0975,0.81,154062,0.504,0.000457,1,0.0873,-8.169,0.0449,111.936,4,0.649,blues
The Chi-Lites,Have You Seen Her,0.737,0.626,284851,0.58,9.18e-06,4,0.131,-9.393,0.0381,141.045,4,0.576,blues
Elmore James,Dust My Broom,0.247,0.526,174667,0.664,0.0124,2,0.289,-6.62,0.0354,101.928,4,0.803,blues
Gene Chandler,Duke Of Earl,0.735,0.582,147467,0.411,0,5,0.0951,-9.767,0.0328,103.111,4,0.658,blues
Curtis Mayfield,Pusherman,0.239,0.851,300693,0.669,0.0852,10,0.108,-9.562,0.0379,126.624,4,0.916,blues
Free,All Right Now,0.302,0.761,332907,0.451,0.000188,2,0.378,-12.996,0.102,119.755,4,0.767,blues
Los Lonely Boys,Heaven,0.376,0.653,226960,0.818,1.64e-06,11,0.0754,-6.375,0.0638,91.896,4,0.809,blues
Nina Simone,I Put A Spell On You,0.725,0.403,154067,0.382,0.000398,6,0.191,-9.1,0.0306,88.451,3,0.417,blues
Eddie Floyd,Knock On Wood,0.568,0.829,179867,0.562,0.00625,9,0.153,-10.405,0.0382,108.643,4,0.926,blues
The Drifters,Save The Last Dance For Me,0.614,0.54,154960,0.53,0,4,0.198,-10.583,0.0361,143.453,4,0.887,blues
Roberta Flack,Killing Me Softly With His Song,0.727,0.477,286920,0.381,0,5,0.0615,-10.237,0.0342,121.568,4,0.318,blues
Elvin Bishop,Fooled Around And Fell In Love,0.0523,0.637,276000,0.619,0.007,10,0.146,-11.401,0.0321,113.32,3,0.624,blues
ZZ Top,La Grange,0.0128,0.469,234107,0.532,0.125,9,0.118,-15.666,0.0609,160.914,4,0.524,blues
Fats Domino,Blueberry Hill,0.77,0.493,140787,0.447,0,11,0.257,-11.513,0.0267,138.24,3,0.786,blues
Muddy Waters,Mannish Boy,0.59,0.624,172293,0.419,0,2,0.118,-9.489,0.0714,109.742,3,0.515,blues
Al Green,How Can You Mend a Broken Heart,0.517,0.457,383493,0.298,2.39e-05,4,0.0677,-12.059,0.0481,146.883,3,0.365,blues
James Brown,"It's A Man's, Man's, Man's World",0.675,0.653,167333,0.37,3.25e-05,3,0.0644,-10.914,0.0433,81.465,3,0.628,blues
Ten Years After,I'd Love To Change The World,0.233,0.39,223960,0.516,0.106,4,0.113,-12.125,0.035,118.854,4,0.42,blues
Blind Faith,Can't Find My Way Home,0.911,0.54,197707,0.358,0.0148,2,0.124,-12.792,0.0341,88.223,4,0.515,blues
Jackie Wilson,Lonely Teardrops,0.596,0.591,164347,0.582,0,7,0.784,-4.554,0.129,137.221,4,0.899,blues
Fazıl Say,"Symphony No 2, Op. 38 ""Mesopotamia"": VIII.Euphrates River",0.765,0.294,246480,0.203,0.238,11,0.125,-16.934,0.0446,144.399,4,0.215,classical
Wolfgang Amadeus Mozart,"Mozart: Piano Concerto No. 23 in A Major, K. 488: I. Allegro",0.989,0.263,653107,0.0749,0.927,9,0.0979,-23.402,0.0387,138.219,4,0.151,classical
Johann Sebastian Bach,"The Well-Tempered Clavier, Book 2, BWV 870-893: Prelude No. 2 in C Minor, BWV 871",0.785,0.169,206960,0.495,0.99,2,0.213,-18.897,0.0367,143.052,4,0.894,classical
César Franck,"Messe à trois voix, Op. 12: Panis Angelicus",0.966,0.153,237987,0.129,0.535,9,0.0674,-19.103,0.0426,93.704,,0.0392,classical
Carl Orff,Carmina Burana: O Fortuna,0.921,0.289,156360,0.197,0.00077,9,0.314,-18.424,0.0341,140.466,3,0.553,classical
Thomas Newman,End Title,0.729,0.131,245507,0.103,0.915,10,0.107,-22.175,0.0439,75.637,3,0.0389,classical
Tan Dun,"Crouching Tiger, Hidden Dragon",0.977,0.212,204360,0.0457,0.928,7,0.0781,-26.263,0.0458,121.764,5,0.0949,classical
