artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
WALK THE MOON,Anna Sun,0.00173,0.472,321280,0.844,0,10,0.24,-6.578,1,0.054,140.034,4,0.343,alternative
blink-182,Adam's Song,0.039,0.514,249754,0.771,0,0,0.262,-5.756,1,0.0364,136.058,4,0.352,alternative
The Verve Pipe,The Freshmen,0.0757,0.571,269467,0.505,1.04e-05,1,0.109,-9.312,0,0.0238,99.562,4,0.277,alternative
Russian Circles,Mlàdek,0.000647,0.223,459866,0.908,0.876,6,0.065,-5.188,1,0.0704,161.61,4,0.166,alternative
alt-J,Breezeblocks,0.096,0.616,227080,0.656,0.000879,5,0.205,-7.298,1,0.0344,150.071,4,0.283,alternative
Paramore,Misery Business,0.00272,0.517,211520,0.906,9.26e-06,1,0.113,-3.677,1,0.0735,172.977,4,0.715,alternative
Imagine Dragons,Demons,0.202,0.327,175200,0.71,9e-05,3,0.28,-2.928,1,0.0547,179.561,4,0.375,alternative
Broken Bells,The High Road,0.0682,0.61,232200,0.637,6.12e-06,0,0.284,-6.574,1,0.0238,79.955,4,0.572,alternative
Radiohead,Fake Plastic Trees,0.167,0.454,290707,0.229,0.102,2,0.202,-12.592,1,0.0297,73.552,4,0.127,alternative
Foster The People,Call It What You Want,0.0483,0.641,238787,0.967,0.000276,5,0.442,-4.289,0,0.0601,113.017,4,0.734,alternative
Green Day,Holiday/Boulevard Of Broken Dreams,0.000659,0.29,493400,0.827,2.55e-06,8,0.301,-3.451,1,0.0362,167.086,4,0.455,alternative
Imagine Dragons,Bleeding Out,0.0214,0.318,221053,0.777,0,5,0.101,-3.94,0,0.0832,169.491,4,0.307,alternative
MAGIC!,Rude,0.0435,0.743,224773,0.807,0,1,0.309,-3.78,1,0.0364,144.062,4,0.9,alternative
The Killers,Somebody Told Me,7.76e-05,0.51,197160,0.981,0.00142,10,0.111,-3.191,0,0.0901,138.039,4,0.704,alternative
Keane,Somewhere Only We Know,0.0637,0.457,236360,0.646,1.5e-06,9,0.0854,-5.24,1,0.0257,172.257,4,0.373,alternative
Death Cab for Cutie,I Will Follow You Into The Dark,0.924,0.517,189187,0.206,0,5,0.118,-12.233,1,0.0421,80.401,4,0.486,alternative
Arctic Monkeys,One For The Road,0.212,0.415,206052,0.668,0.0615,0,0.27,-6.849,1,0.036,180.048,4,0.841,alternative
Nickelback,If Today Was Your Last Day,8.67e-05,0.485,249067,0.911,0,3,0.092,-5.749,1,0.0355,89.956,4,0.55,alternative
Passion Pit,Little Secrets,0.00345,0.597,238973,0.786,0,5,0.0909,-4.248,1,0.0419,99.888,4,0.669,alternative
Fall Out Boy,"Sugar, We're Goin Down",0.00898,0.499,229093,0.824,0,7,0.163,-4.741,1,0.0794,161.977,4,0.692,alternative
Nirvana,Smells Like Teen Spirit,1.62e-05,0.48,300827,0.875,0.000751,1,0.103,-5.898,1,0.0429,116.754,4,0.81,alternative
Soko,First Love Never Die,0.455,0.344,262227,0.364,0.188,5,0.105,-12.592,1,0.0339,89.354,4,0.224,alternative
Three Days Grace,Pain,0.00804,0.416,202973,0.741,0,7,0.273,-4.001,1,0.0335,160.515,4,0.263,alternative
Linkin Park,One Step Closer,0.0014,0.492,157333,0.969,1.32e-06,9,0.0787,-4.419,1,0.0491,95.136,4,0.534,alternative
Kings of Leon,Wait for Me,0.0263,0.488,210133,0.624,0.00223,9,0.122,-8.357,1,0.0329,116.723,4,0.295,alternative
Coldplay,Viva La Vida,0.0941,0.485,242373,0.619,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,4,0.424,alternative
The White Stripes,Fell In Love With A Girl,0.676,0.235,110093,0.977,0.000249,0,0.8,-1.606,1,0.141,91.929,4,0.397,alternative
The Black Keys,Howlin' For You,0.028,0.705,191800,0.735,0.0783,11,0.112,-6.646,1,0.0931,132.627,4,0.436,alternative
The All-American Rejects,Dirty Little Secret,0.0004,0.453,193653,0.942,2.65e-06,10,0.667,-4.256,1,0.0466,143.85,4,0.459,alternative
Young the Giant,It's About Time,0.00201,0.509,228240,0.906,0,1,0.0957,-3.971,0,0.0498,139.932,3,0.524,alternative
Fitz and The Tantrums,The Walker,0.00375,0.77,233133,0.801,0.00281,9,0.0515,-4.182,0,0.0336,130.76,4,0.743,alternative
Alice In Chains,Man in the Box,0.00136,0.337,286707,0.849,0,8,0.0904,-4.604,1,0.0456,106.395,4,0.695,alternative
Creed,With Arms Wide Open,0.00312,0.414,278440,0.525,0.0011,0,0.149,-8.436,1,0.0302,138.869,4,0.134,alternative
Foo Fighters,Learn to Fly,1.92e-05,0.439,234800,0.931,1.21e-05,11,0.193,-2.59,0,0.0473,135.944,4,0.516,alternative
Passenger,Let Her Go,0.385,0.509,252867,0.538,0,7,0.104,-7.335,1,0.0572,75.089,4,0.242,alternative
Third Eye Blind,Jumper,0.0123,0.609,272173,0.542,0.0017,0,0.29,-9.227,1,0.0304,91.066,4,0.623,alternative
Cage The Elephant,Ain't No Rest for the Wicked,0.0438,0.634,175493,0.849,0,0,0.363,-7.075,1,0.105,156.004,4,0.91,alternative
Radiohead,High And Dry,0.0718,0.418,257480,0.383,0.0177,4,0.0896,-11.782,1,0.0257,87.773,4,0.36,alternative
Marcy Playground,Sex And Candy,0.238,0.67,173493,0.558,0,2,0.106,-9.159,1,0.0251,80.511,4,0.623,alternative
Sam Cooke,Wonderful World,0.647,0.688,130267,0.466,0,11,0.0868,-11.299,1,0.035,128.555,4,0.872,blues
Otis Redding,(Sittin' On) The Dock Of The Bay,0.641,0.755,161413,0.333,0,2,0.0791,-10.297,1,0.0304,103.544,4,0.584,blues
ZZ Top,La Grange,0.0128,0.469,234107,0.532,0.125,9,0.118,-15.666,0,0.0609,160.914,4,0.524,blues
Little Richard,Long Tall Sally,0.77,0.427,127742,0.577,0,5,0.13,-10.232,1,0.104,184.183,4,0.826,blues
Eric Clapton,Cocaine,0.083,0.702,218747,0.434,0.0454,9,0.121,-15.182,1,0.0288,105.207,4,0.66,blues
Sam & Dave,Hold On I'm Coming,0.0975,0.81,154062,0.504,0.000457,1,0.0873,-8.169,1,0.0449,111.936,4,0.649,blues
The Drifters,Under The Boardwalk - Re-Recording,0.506,0.646,155800,0.702,0,5,0.0388,-4.818,1,0.0427,127.114,4,0.708,blues
ZZ Top,Sharp Dressed Man,0.000998,0.592,255640,0.888,0.0006,5,0.0751,-4.133,1,0.0289,124.947,4,0.397,blues
Jackie Wilson,Lonely Teardrops,0.596,0.591,164347,0.582,0,7,0.784,-4.554,1,0.129,137.221,4,0.899,blues
James Brown,The Boss,0.427,0.735,194933,0.564,0.0839,1,0.0852,-8.303,1,0.0423,98.04,4,0.547,blues
Bonnie Raitt,I Can't Make You Love Me,0.853,0.582,333467,0.152,6.24e-05,10,0.271,-16.684,1,0.032,124.616,4,0.123,blues
Ten Years After,I'd Love To Change The World,0.233,0.39,223960,0.516,0.106,4,0.113,-12.125,0,0.035,118.854,4,0.42,blues
Free,All Right Now,0.302,0.761,332907,0.451,0.000188,2,0.378,-12.996,1,0.102,119.755,4,0.767,blues
Etta James,At Last,0.793,0.254,178867,0.349,0.000921,5,0.334,-8.416,1,0.0296,88.14,3,0.251,blues
Edwin Starr,War - Single Version,0.0492,0.598,202120,0.824,0,1,0.144,-7.186,1,0.168,109.206,4,0.729,blues
Lou Rawls,You'll Never Find Another Love Like Mine,0.282,0.699,266307,0.669,0.000111,2,0.107,-10.563,1,0.035,110.431,4,0.874,blues
Muddy Waters,Mannish Boy,0.59,0.624,172293,0.419,0,2,0.118,-9.489,1,0.0714,109.742,3,0.515,blues
Elmore James,Dust My Broom,0.247,0.526,174667,0.664,0.0124,2,0.289,-6.62,1,0.0354,101.928,4,0.803,blues
Stevie Ray Vaughan,Pride and Joy,0.0274,0.427,219587,0.626,0.00395,8,0.106,-11.821,1,0.0385,126.877,4,0.76,blues
,,0.665,0.579,119133,0.558,0,8,0.8,-12.083,0,0.276,172.806,4,0.939,blues
Eric Clapton,Wonderful Tonight,0.672,0.564,221973,0.138,0.372,7,0.141,-20.072,1,0.031,95.419,4,0.454,blues
Booker T. & the M.G.'s,Green Onions,0.779,0.83,172199,0.475,0.943,10,0.104,-10.358,1,0.0368,134.93,4,0.876,blues
Gary Clark Jr.,Bright Lights,0.00207,0.515,324787,0.752,2.5e-06,9,0.129,-1.853,0,0.0336,83.541,4,0.506,blues
Wilson Pickett,In The Midnight Hour,0.12,0.75,157160,0.444,3.69e-06,4,0.118,-8.63,1,0.0403,111.919,4,0.828,blues
Ike & Tina Turner,Proud Mary,0.663,0.628,157720,0.917,0.000105,1,0.507,-5.067,1,0.0917,117.505,4,0.961,blues
Al Green,How Can You Mend a Broken Heart,0.517,0.457,383493,0.298,2.39e-05,4,0.0677,-12.059,1,0.0481,146.883,3,0.365,blues
Otis Redding,These Arms Of Mine,0.827,0.428,151613,0.416,0,10,0.345,-9.132,1,0.0277,177.39,3,0.708,blues
James Brown,"It's A Man's, Man's, Man's World",0.675,0.653,167333,0.37,3.25e-05,3,0.0644,-10.914,0,0.0433,81.465,3,0.628,blues
The Allman Brothers Band,Midnight Rider,0.353,0.412,178493,0.49,0.0552,7,0.224,-13.172,1,0.0332,189.346,4,0.674,blues
The Chi-Lites,Have You Seen Her,0.737,0.626,284851,0.58,9.18e-06,4,0.131,-9.393,1,0.0381,141.045,4,0.576,blues
Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,0.549,0.399,423840,0.916,0.292,1,0.309,-3.764,1,0.0677,115.682,4,0.501,blues
Bill Withers,Lovely Day,0.292,0.69,254560,0.651,0.00241,9,0.105,-8.267,1,0.0324,97.918,4,0.723,blues
Joe Bonamassa,Different Shades of Blue,0.176,0.5,279227,0.671,0.000307,9,0.105,-4.366,0,0.0294,79.896,4,0.487,blues
Al Green,Love And Happiness,0.301,0.821,303533,0.434,0.00602,8,0.0803,-10.981,0,0.164,99.821,4,0.739,blues
Nina Simone,My Baby Just Cares For Me,0.862,0.753,218760,0.346,8.85e-06,11,0.0983,-12.957,0,0.0744,118.277,4,0.539,blues
Ben E. King,Stand By Me,0.751,0.677,170960,0.183,0.000202,9,0.148,-10.632,1,0.0517,119.735,4,0.636,blues
Etta James,I'd Rather Go Blind,0.633,0.412,153360,0.309,0.00692,11,0.571,-10.281,0,0.0285,162.809,3,0.549,blues
George Thorogood & The Destroyers,Bad To The Bone,0.00227,0.334,289853,0.901,0.0192,7,0.145,-4.21,1,0.0899,148.801,3,0.7,blues
Eddie Floyd,Knock On Wood,0.568,0.829,179867,0.562,0.00625,9,0.153,-10.405,1,0.0382,108.643,4,0.926,blues
Canned Heat,Going Up The Country,0.859,0.622,172867,0.239,0.051,5,0.109,-18.982,0,0.0447,79.674,4,0.722,blues
Bill Withers,Ain't No Sunshine,0.304,0.524,122640,0.484,0.000228,4,0.0946,-8.151,0,0.0462,78.884,4,0.521,blues
Sam Cooke,A Change Is Gonna Come,0.748,0.203,191320,0.442,0,10,0.296,-9.865,1,0.0337,171.776,3,0.483,blues
Nina Simone,I Put A Spell On You,0.725,0.403,154067,0.382,0.000398,6,0.191,-9.1,0,0.0306,88.451,3,0.417,blues
Curtis Mayfield,Superfly,0.457,0.784,233600,0.708,7.5e-05,2,0.0913,-9.141,1,0.11,120.109,4,0.767,blues
Ray Charles,Georgia On My Mind,0.835,0.209,218213,0.329,0,7,0.163,-8.299,1,0.0293,167.274,5,0.223,blues
B.B. King,The Thrill Is Gone,0.459,0.545,324707,0.468,0.447,11,0.0948,-7.975,0,0.0245,90.285,4,0.638,blues
The Staple Singers,I'll Take You There,0.147,0.81,289013,0.628,0.000387,0,0.0784,-9.882,1,0.14,102.045,4,0.418,blues
The Spinners,I'll Be Around,0.175,0.593,188800,0.791,0,8,0.0976,-8.698,0,0.068,112.295,4,0.626,blues
The Chi-Lites,Oh Girl,0.74,0.568,176640,0.462,5.33e-06,9,0.195,-9.741,1,0.0326,72.357,4,0.449,blues
Little Richard,Tutti Frutti,0.532,0.534,143073,0.436,0,10,0.0498,-8.188,1,0.0824,184.716,4,0.967,blues
Los Lonely Boys,Heaven,0.376,0.653,226960,0.818,1.64e-06,11,0.0754,-6.375,1,0.0638,91.896,4,0.809,blues
Screamin' Jay Hawkins,I Put a Spell on You,0.635,0.729,145867,0.442,0.0233,5,0.106,-11.594,0,0.0705,173.953,3,0.945,blues
The Allman Brothers Band,Ramblin' Man,0.488,0.309,288160,0.831,0.00304,1,0.286,-8.288,1,0.036,181.145,4,0.926,blues
Joe Cocker,You Are So Beautiful,0.91,0.383,163093,0.198,0.00547,1,0.142,-11.831,1,0.0408,122.191,4,0.0772,blues
Candi Staton,Young Hearts Run Free,0.22,0.635,223387,0.764,0,3,0.165,-5.535,1,0.0316,120.004,4,0.693,blues
Sam Cooke,Chain Gang,0.716,0.699,154333,0.738,0,7,0.601,-9.149,1,0.043,131.909,4,0.947,blues
Barry White,Let the Music Play,0.0403,0.54,210534,0.746,6.07e-05,10,0.249,-8.782,1,0.0565,98.489,4,0.786,blues
Nina Simone,Feeling Good,0.835,0.401,172973,0.27,0,7,0.137,-11.022,0,0.0381,110.047,3,0.573,blues
Ray Charles,Mess Around,0.473,0.615,160173,0.924,0,8,0.0614,-5.409,1,0.0683,149.84,4,0.926,blues
Bobby Womack,Across 110th Street,0.107,0.476,230373,0.579,7.18e-06,11,0.166,-14.609,0,0.0488,110.262,4,0.516,blues
Little Walter,My Babe,0.927,0.693,160027,0.333,0,5,0.146,-10.721,1,0.0444,157.404,4,0.868,blues
Bill Withers,Lean on Me,0.812,0.615,257533,0.234,5.84e-06,0,0.161,-11.8,1,0.0536,75.188,4,0.397,blues
ZZ Top,Gimme All Your Lovin',0.00322,0.63,241080,0.788,0.0237,5,0.0883,-6.7,1,0.0298,120.059,4,0.646,blues
Howlin' Wolf,Spoonful,0.751,0.858,162853,0.427,0.000902,9,0.0879,-10.932,1,0.0512,119.113,4,0.608,blues
Roberta Flack,Killing Me Softly With His Song,0.727,0.477,286920,0.381,0,5,0.0615,-10.237,0,0.0342,121.568,4,0.318,blues
Joe Cocker,You Can Leave Your Hat On,0.118,0.65,255293,0.535,0,5,0.187,-13.325,1,0.0282,173.8,4,0.905,blues
Etta James,I Just Want To Make Love To You (From The Diet Coke TV Advert),0.835,0.643,192787,0.542,2.53e-06,3,0.0718,-8.557,1,0.0984,100.232,4,0.726,blues
Little Richard,Good Golly Miss Molly,0.583,0.656,137213,0.903,0.00356,0,0.322,-6.185,1,0.0521,81.876,4,0.966,blues
Curtis Mayfield,Pusherman,0.239,0.851,300693,0.669,0.0852,10,0.108,-9.562,1,0.0379,126.624,4,0.916,blues
Jimmy Ruffin,What Becomes Of The Brokenhearted,0.681,0.685,181453,0.442,0,5,0.101,-10.682,1,0.0269,96.129,4,0.514,blues
Barry White,"Can't Get Enough Of Your Love, Babe",0.169,0.766,242573,0.646,0.0437,5,0.182,-12.328,1,0.0754,110.671,4,0.727,blues
Otis Redding,Try A Little Tenderness,0.312,0.491,225680,0.367,0.000101,4,0.11,-8.68,0,0.0405,100.376,4,0.128,blues
The Drifters,This Magic Moment,0.401,0.348,147907,0.304,0,0,0.0702,-12.268,1,0.0424,141.319,4,0.587,blues
Curtis Mayfield,Move On Up - Extended Version,0.141,0.584,535333,0.975,0.501,11,0.101,-6.534,0,0.0651,138.341,4,0.867,blues
James Brown,I Got You (I Feel Good),0.366,0.608,167840,0.587,1.46e-06,7,0.0501,-5.594,1,0.0981,144.064,4,0.7,blues
Percy Sledge,When A Man Loves A Woman,0.246,0.407,176133,0.272,9.94e-05,1,0.295,-13.394,1,0.025,95.379,3,0.171,blues
Gene Chandler,Duke Of Earl,0.735,0.582,147467,0.411,0,5,0.0951,-9.767,1,0.0328,103.111,4,0.658,blues
Fats Domino,Blueberry Hill,0.77,0.493,140787,0.447,0,11,0.257,-11.513,1,0.0267,138.24,3,0.786,blues
Eric Clapton,Tears In Heaven,0.835,0.498,271760,0.242,0.536,9,0.133,-12.238,1,0.0257,153.744,4,0.297,blues
Bobby Womack,If You Think You're Lonely Now,0.425,0.639,329613,0.681,0.000171,0,0.13,-7.377,0,0.058,72.629,4,0.65,blues
Peggy Lee,Fever,0.146,0.732,199494,0.178,0,11,0.123,-12.718,0,0.11,68.671,4,0.378,blues
Marlena Shaw,California Soul,0.557,0.518,177293,0.828,5.92e-05,6,0.323,-8.324,1,0.0555,94.466,4,0.603,blues
The Drifters,Save The Last Dance For Me,0.614,0.54,154960,0.53,0,4,0.198,-10.583,1,0.0361,143.453,4,0.887,blues
Fats Domino,Ain't That a Shame,0.858,0.468,147613,0.207,1.75e-06,11,0.12,-12.895,1,0.0341,123.981,4,0.933,blues
Aaron Neville,Tell it Like it is,0.789,0.455,184747,0.522,9.02e-06,5,0.207,-6.266,1,0.0641,175.962,3,0.836,blues
Wilson Pickett,Mustang Sally,0.0906,0.76,187827,0.522,3.36e-06,0,0.174,-8.088,1,0.0348,109.741,4,0.539,blues
Jonny Lang,Lie To Me,0.561,0.615,251307,0.684,0.000492,8,0.061,-8.679,1,0.043,112.378,4,0.891,blues
Howlin' Wolf,Smokestack Lightnin',0.568,0.662,188360,0.464,3.69e-05,9,0.104,-11.255,1,0.0608,145.903,4,0.403,blues
John Lee Hooker,"One Bourbon, One Scotch, One Beer",0.553,0.733,180048,0.672,0,7,0.345,-11.725,1,0.0695,124.221,4,0.852,blues
Gladys Knight & The Pips,Midnight Train to Georgia,0.245,0.558,279627,0.536,0,1,0.137,-6.902,1,0.0337,91.57,4,0.615,blues
Al Green,Let's Stay Together,0.574,0.763,195960,0.302,0.0166,5,0.0797,-14.599,1,0.0768,101.391,4,0.556,blues
Joe Cocker,With A Little Help From My Friends,0.276,0.315,312173,0.447,0.00152,2,0.0923,-11.198,1,0.0672,141.407,3,0.305,blues
Dr. John,Right Place Wrong Time,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,1,0.0456,104.593,4,0.832,blues
Canned Heat,On the Road Again,0.88,0.395,199635,0.182,0.0333,9,0.322,-19.545,1,0.048,128.339,4,0.192,blues
Blind Faith,Can't Find My Way Home,0.911,0.54,197707,0.358,0.0148,2,0.124,-12.792,1,0.0341,88.223,4,0.515,blues
Harold Melvin & The Blue Notes,If You Don't Know Me By Now,0.351,0.549,213235,0.562,0,11,0.602,-4.821,1,0.0262,88.629,3,0.454,blues
Elvin Bishop,Fooled Around And Fell In Love,0.0523,0.637,276000,0.619,0.007,10,0.146,-11.401,1,0.0321,113.32,3,0.624,blues
Gary Moore,Still Got The Blues - Single Version,0.43,0.331,249093,0.5,4.08e-06,9,0.145,-8.551,0,0.0318,75.473,3,0.29,blues
Donny Hathaway,A Song For You,0.822,0.315,325947,0.22,0.000211,5,0.245,-13.156,1,0.037,88.045,4,0.0718,blues
John Lee Hooker,Boom Boom,0.344,0.449,153653,0.567,0.129,10,0.0644,-12.442,1,0.054,162.456,4,0.894,blues
Joep Beving,Wanderlust,0.995,0.313,343387,0.0368,0.902,2,0.0877,-26.294,0,0.0395,130.213,4,0.107,classical
Ludwig van Beethoven,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",0.995,0.184,315427,0.00527,0.887,1,0.173,-37.264,0,0.0432,170.612,3,0.146,classical
Eluvium,Prelude For Time Feelers,0.865,0.214,348773,0.272,0.916,2,0.115,-13.276,1,0.0383,113.469,4,0.119,classical
